year,origin,HS2,rank_export_between_country,rank_export_within_country,details_description,rank_pci,quartile_pci
2016,abw,16,145.0,51.0,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates.",54.0,4_Common World cpi
2016,abw,97,160.0,52.0,"Works of art, collectors' pieces and antiques.",55.0,4_Common World cpi
2016,abw,41,132.0,53.0,Raw hides and skins (other than furskins) and leather.,87.0,6_Low world cpi
2016,abw,79,100.0,54.0,Zinc and articles .,38.0,3_Average world cpi
2016,abw,86,141.0,55.0,"Railway or tramway locomotives, rolling-stock and parts ; railway or tramway track fixtures and fittings and parts ; mechanical (including electro-mechanical) traffic signalling equipment of all kinds.",4.0,1_Highest world cpi
2016,abw,70,172.0,56.0,Glass and glassware.,20.0,2_Top world cpi
2016,abw,57,129.0,57.0,Carpets and other textile floor coverings.,71.0,5_Bottom world cpi
2016,abw,69,163.0,58.0,Ceramic products.,34.0,3_Average world cpi
2016,abw,11,156.0,59.0,Products of the milling industry; malt; starches; inulin; wheat gluten.,56.0,4_Common World cpi
2016,abw,93,110.0,60.0,Arms and ammunition; parts and accessories .,19.0,2_Top world cpi
2016,abw,55,142.0,61.0,Man-made staple fibres.,53.0,4_Common World cpi
2016,abw,28,175.0,62.0,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes.",31.0,2_Top world cpi
2016,abw,92,144.0,63.0,Musical instruments; parts and accessories of such articles.,18.0,2_Top world cpi
2016,abw,36,119.0,64.0,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations.,44.0,3_Average world cpi
2016,abw,31,147.0,65.0,Fertilisers.,64.0,4_Common World cpi
2016,abw,58,139.0,66.0,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery.,61.0,4_Common World cpi
2016,abw,60,157.0,67.0,Knitted or crocheted fabrics.,52.0,4_Common World cpi
2016,abw,46,139.0,68.0,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork.",96.0,6_Low world cpi
2016,abw,37,130.0,69.0,Photographic or cinematographic goods.,1.0,1_Highest world cpi
2016,afg,80,43.0,1.0,Tin and articles .,40.0,3_Average world cpi
