"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Austria","AUT","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","9839.01462111734","10327.1003101134","10535.8595103399","10901.6083078353","11492.4030929835","11815.3410892708","12394.8220122189","12672.5911830594","13170.7813884505","13949.1081780807","14779.1493763431","15465.928003027","16330.841688868","17034.8489048742","17676.2745231699","17658.7696398806","18499.9221468437","19432.2530696591","19407.0241282255","20481.4839010918","20836.095730633","20753.0388137477","21155.2578510564","21819.4542648617","21832.0165063928","22367.02440256","22867.2409711546","23162.9247327841","23892.4982172795","24709.6459680714","25587.7150504373","26205.3989282377","26461.1878211524","26382.1339417097","26912.0881267138","27587.8271998035","28197.9143906842","28755.661523328","29752.8604555041","30751.0819130956","31712.802465835","31991.9580149592","32360.7203057378","32506.6506202177","33189.1958434482","33703.5881518685","34695.6253149701","35872.4074909647","36282.5398221666","34825.3088128076","35379.9290336805","36291.4747445762","36372.2049050823","36167.6841603887","36183.5207894452","36170.8385308802","36300.9593588769","37094.7798736141","",
"Azerbaijan","AZE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1119.2006704847","1094.24715995049","834.212110539149","631.837264843229","500.553257864947","436.432543916721","437.664034522736","458.603119318725","499.698028560596","531.986433246688","586.201326938846","639.263228622152","701.769124872277","774.477149901021","846.034888340456","1058.51180609758","1408.14341361651","1741.01630289117","1888.49106511171","2023.75507181374","2096.89737464895","2071.11645791458","2088.74136920565","2181.4202084126","2197.44797080339","2195.31273690089","2103.61074798326","2083.37771557088","",
"Burundi","BDI","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","159014.233056708","134568.97280552","144026.171287602","147121.981770085","153186.80762011","155796.292710167","159113.874198072","176553.014345772","171663.349141888","165391.421719243","196954.396511165","199490.334306538","184678.485430243","195501.092700205","191929.647929007","190484.009240076","201865.66798463","220217.206470653","212985.999700548","211161.481359824","207892.469052273","227305.460297123","219191.458194488","221441.028221987","215839.026397471","234561.471285728","235207.112520127","240878.458728038","245695.797789753","242217.070121321","244426.620452673","250776.119431887","247980.20021666","228064.347460816","215586.250799807","195500.176338276","177506.51189647","172655.402113597","178685.70638398","174272.729005797","169492.520224367","168884.00575499","171533.570143237","164279.531016975","166721.192915442","162763.971603423","165941.356589117","165956.28001657","168246.052489301","168966.399109627","171994.073181832","173457.689206445","175801.60756075","179069.343031479","181160.335995811","168846.588499961","162652.973983471","158348.600792784","",
"Belgium","BEL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","9961.54584648631","10422.7910337106","10922.4632335708","11312.8706849025","11985.8891271459","12300.4521544312","12603.2231658156","13018.0678022227","13510.8074439125","14365.8096619037","15154.1659309067","15729.4921453812","16497.7343693283","17495.4330138826","18236.6755969019","17826.5638270736","18800.6322220906","18895.0073842682","19413.8623739702","19850.5049154267","20709.8349447148","20652.540404273","20781.0672013634","20847.5276088933","21362.028211619","21708.417539805","22096.2318934339","22586.652889891","23578.3865216998","24307.9015590836","24995.880351294","25359.6633250324","25643.581425001","25297.9060784027","26033.9027935359","26598.9817310395","26970.0624035298","27903.1665577245","28393.6376115749","29338.0745987427","30330.4720302402","30471.6290658597","30875.4625689008","30984.6273751503","31972.1480775082","32462.6772407084","33057.4834579356","33947.4234638659","33944.0782156967","32913.369785911","33509.0283349606","33641.8106719345","33476.8635236856","33380.3435484995","33732.8871554494","34016.5610301613","34322.7574262083","34791.6628004687","",
"Benin","BEN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","234106.592759894","238107.227559313","226546.73082701","233533.691211349","244913.729497499","253334.425548824","257521.132043253","255240.548026236","259703.952407051","261640.525302728","261471.714737977","252000.007055096","262290.957123664","265887.230683999","268409.648642849","249191.352228754","245235.742132241","250988.784626726","247612.29493822","256900.011524029","267042.922603651","285710.987956424","284095.846464381","264194.467256889","277127.75148497","289521.254874079","287344.659787045","274874.262330542","275865.313367511","259809.393267574","274117.37510686","276213.552599971","274659.57583204","280688.875835489","276715.209442409","283935.737385019","287042.036661061","294449.57078877","297188.726288645","303957.114676285","312309.248929973","319158.572182955","323971.536012997","325095.687751768","329444.991254198","325335.354490759","328518.214177227","338388.021655414","345053.349946119","343309.215529275","340853.54048625","341250.139258807","347820.366814812","362568.620706923","375017.789941042","372406.190950942","376618.447176485","387783.575934269","",
"Burkina Faso","BFA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","89447.2950670989","91823.0313734784","96159.0327530892","93665.2207586547","94468.1076273463","96585.1596658467","95598.9378016701","102346.654054571","103722.504302047","104022.049414508","102358.374391068","102013.453656152","102547.653434499","101179.265567408","107576.082099443","108740.184286572","115773.278225806","113933.951962319","116777.019145684","118500.983234148","116798.510913999","118939.054524163","127161.137986842","124426.236860442","119124.381835028","125980.873618174","132525.524084021","128811.551591736","132750.57324978","132072.338310476","127831.212307205","135742.682023725","132443.424759923","133364.685218785","131483.124309587","135234.320276221","146035.955766771","150998.434257374","157554.34854592","164510.871643235","162812.062362131","168687.328678673","171039.784749168","179117.493546429","181740.026924381","191723.849342084","197713.636248925","202696.654390279","211002.106826227","210775.49523981","215495.68967865","222965.452349423","230344.230622545","236528.877086567","239561.214028655","241680.911497031","248665.722918694","256804.133898862","",
"Bangladesh","BGD","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","19516.7003345474","20117.6198594304","20617.0999717285","19936.2043859509","21467.2926078579","21146.0620652227","20997.2746861226","19930.3258136872","21127.4734975403","20765.6321119092","21382.9042240802","19792.2561146792","16731.1521688608","17012.3204745995","18325.797282141","17226.2051568984","17779.2608737177","17785.085857365","18522.0775878177","18871.7658742198","18504.6140914678","19309.8461671651","19197.7740374248","19416.6324568696","19812.3250412019","19932.3865941222","20212.8196400194","20420.4916874839","20368.8671957775","20416.1203511624","21038.1300073505","21262.9946920847","21917.4266501272","22450.8485397955","22824.9106130801","23483.5476355872","24026.9689912921","24581.7677884333","25324.1244333193","25976.4320446214","26821.0568583852","27652.0135091967","28187.8418646375","29010.2358022268","30035.7966165544","31525.150183432","33180.407844081","35094.8782911278","36788.7104196077","38221.2233597901","39901.4711240294","41994.305366194","44211.5346522354","46321.6674291152","48564.0101335665","51169.8428258018","54220.9537607372","57563.5472965524","",
"Bulgaria","BGR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","4762.85540823345","4979.61982729504","5080.82035046538","5242.01043699491","5407.38576842224","5552.57155617843","5787.73635823652","6129.13249820902","6792.31020261103","6646.1606953362","6150.14392158828","5686.7878416198","5330.15437408462","5293.31162576265","5407.87788039473","5587.38421904084","5655.8512636757","5628.43085499301","6025.85558109415","5550.22371015894","5843.5244692523","6185.75622707151","6696.8383066266","7098.14519698014","7612.17645519032","8216.06346125825","8847.81020236489","9567.72247976167","10215.3322475453","9912.65565469438","10110.2425915737","10370.12773518","10433.5982155763","10543.9762481392","10798.929891148","11245.3052671702","11770.2714798434","12308.3678314458","",
"Bahrain","BHR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","7965.56178588894","7255.14754624185","6501.35432050784","6732.669111675","6882.52645330491","6364.32348663662","6230.86287319889","6641.46997703648","6858.45998082553","6656.10010600927","6743.47036180436","7297.20635979324","7587.11074830764","8353.94404835392","8130.26230558164","8238.25871608784","8354.98541478015","8377.9636259728","8510.72686743729","8558.1399586832","8631.12408104554","8428.45549201562","8286.42110160131","8294.10358913641","8326.33060512287","8296.85132618358","8195.3101686745","8211.12452951131","8107.94103661436","7819.68204997515","7791.51912138497","7713.55637976044","7866.37922746742","8196.67769237143","8418.90545997933","8436.02275750717","8381.57666694032","8313.92404045602","",
"Bahamas, The","BHS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","18157.8395027578","19120.6363487685","20076.9691183156","21100.7146010947","22206.5791249136","23408.8893689408","24431.442779844","25681.0190240294","26787.4735641782","28194.3577000177","25799.4444537354","25539.1036168934","24094.8992279944","25397.183699947","20729.6315087515","17307.2768378794","17825.3127226835","19041.7289667977","21266.8116825125","26237.4230362464","27327.6371223165","24260.9679888489","25312.8171452833","25651.32322904","28671.6905051094","29457.9563553815","29430.0329366514","29777.6547831535","29950.3301286769","31423.2305226332","30380.3737315112","28577.0443021492","26965.5943998136","26546.7560341489","26913.236557386","27665.0355166875","28463.6474153423","28728.7172875213","29763.2214024685","31508.0457264317","32339.722716439","32614.6106520197","32844.2183097908","31752.104539725","31359.0532236161","31761.7365580457","31923.0563082512","31770.1152111425","30466.8230678337","28686.3121942422","28645.325248315","28369.9068112874","28815.527404385","28301.6117060757","27895.2505305245","27846.5404122656","27068.593571078","27170.8640963575","",
