Year,Country,Country ID,ECI,ECI+
2014,Portugal,euprt,0.4937,0.667474
2014,Romania,eurou,0.787654,0.756671
2014,Russia,eurus,0.008439,0.512588
2014,Serbia,eusrb,0.366673,0.261258
2014,Slovakia,eusvk,1.20436,1.03816
2014,Slovenia,eusvn,1.41088,0.995182
2014,Sweden,euswe,1.6459,1.114
2014,Ukraine,euukr,0.268345,0.433991
2014,Canada,nacan,0.411362,0.695561
2014,Costa Rica,nacri,0.093993,-0.088551
2014,Dominican Republic,nadom,-0.40546,-0.49685
2014,Guatemala,nagtm,-0.412311,-0.342852
2014,Honduras,nahnd,-0.370913,-0.498779
2014,Jamaica,najam,-0.787602,-1.38448
2014,Mexico,namex,0.953003,1.0197
2014,Nicaragua,nanic,-1.00073,-0.904454
2014,Panama,napan,-0.558959,-0.866051
2014,El Salvador,naslv,-0.070683,-0.003148
2014,United States,nausa,1.30167,1.13702
2014,Australia,ocaus,-0.846322,-0.09589
2014,New Zealand,ocnzl,-0.119421,-0.016548
2014,Argentina,saarg,-0.502072,-0.130401
2014,Bolivia,sabol,-1.18122,-1.12006
2014,Brazil,sabra,-0.151225,0.351105
2014,Chile,sachl,-0.532363,-0.126211
2014,Colombia,sacol,-0.194463,0.174145
2014,Ecuador,saecu,-1.30875,-0.997144
2014,Peru,saper,-0.956349,-0.562083
2014,Paraguay,sapry,-1.10231,-0.549455
2014,Uruguay,saury,-0.349791,-0.23355
2015,Angola,afago,-1.25745,
2015,Cote d'Ivoire,afciv,-0.965066,-1.32897
2015,Cameroon,afcmr,-1.0069,-1.53022
2015,Republic of the Congo,afcog,-1.03802,-1.10662
2015,Algeria,afdza,-1.01136,-1.80353
2015,Egypt,afegy,-0.376617,0.125018
2015,Ethiopia,afeth,-1.31886,-1.55586
2015,Gabon,afgab,-1.06145,
2015,Ghana,afgha,-1.04762,-1.10084
2015,Guinea,afgin,-1.22835,-2.21691
2015,Kenya,afken,-0.690631,-0.868874
2015,Liberia,aflbr,-0.719266,
2015,Morocco,afmar,-0.877951,-0.401258
2015,Madagascar,afmdg,-1.49269,-0.641595
2015,Mali,afmli,-1.29791,
2015,Mozambique,afmoz,-1.18598,-1.15741
2015,Mauritius,afmus,-0.666129,
2015,Malawi,afmwi,-0.438195,
2015,Nigeria,afnga,-1.60088,-1.34207
2015,Sudan,afsdn,-1.53738,-3.5323
2015,Senegal,afsen,-0.498182,-1.30014
2015,Tunisia,aftun,-0.323836,0.331971
2015,Tanzania,aftza,-0.879252,-1.1827
2015,Uganda,afuga,-0.379853,
2015,South Africa,afzaf,0.303549,0.261409
2015,Zambia,afzmb,-0.219831,-0.695252
2015,Zimbabwe,afzwe,-0.697917,-1.66071
2015,United Arab Emirates,asare,0.124122,0.696594
2015,Azerbaijan,asaze,-0.674689,-0.768319
2015,Bangladesh,asbgd,-1.76105,
2015,China,aschn,0.60941,1.44349
2015,Georgia,asgeo,-0.13572,-0.339992
2015,Hong Kong,ashkg,0.426902,1.46031
2015,Indonesia,asidn,-0.382548,0.52896
2015,India,asind,0.254162,0.847024
2015,Israel,asisr,1.23759,0.869468
2015,Jordan,asjor,-0.0543591,-0.40191
2015,Japan,asjpn,2.29751,1.62512
2015,Kazakhstan,askaz,0.0243757,-0.310973
2015,Kyrgyzstan,askgz,-0.430339,
2015,Cambodia,askhm,-1.47629,-0.549386
2015,South Korea,askor,1.65462,1.41318
2015,Kuwait,askwt,0.25958,-0.507354
2015,Laos,aslao,-1.21682,
2015,Lebanon,aslbn,0.11624,0.030387
2015,Sri Lanka,aslka,-1.05527,-0.102564
2015,Mongolia,asmng,-0.851358,-2.7369
2015,Malaysia,asmys,0.938148,0.928129
2015,Oman,asomn,-0.297732,-0.577617
2015,Pakistan,aspak,-0.922811,0.053777
2015,Philippines,asphl,0.111666,0.653927
2015,Qatar,asqat,0.322636,-0.752596
2015,Saudi Arabia,assau,0.870754,0.367974
2015,Singapore,assgp,1.746,1.24691
2015,Thailand,astha,0.590169,0.992656
2015,Tajikistan,astjk,-1.17436,
2015,Turkmenistan,astkm,-1.48447,
2015,Turkey,astur,0.133999,0.652583
2015,Uzbekistan,asuzb,-0.873889,
2015,Vietnam,asvnm,-0.707104,0.631556
2015,Yemen,asyem,-0.912604,-0.886144
2015,Albania,eualb,-0.896511,-0.360143
2015,Austria,euaut,1.68354,1.18454
2015,Bulgaria,eubgr,0.358694,0.416352
2015,Bosnia and Herzegovina,eubih,0.32009,0.199232
2015,Belarus,eublr,0.836874,0.653686
2015,Switzerland,euche,2.15805,1.36086
2015,Czech Republic,eucze,1.67011,1.17817
2015,Germany,eudeu,2.09809,1.31157
2015,Denmark,eudnk,1.23141,0.94943
2015,Spain,euesp,0.820536,0.828131
2015,Estonia,euest,0.86561,0.646673
2015,Finland,eufin,1.77048,0.875278
2015,France,eufra,1.41803,1.13567
2015,United Kingdom,eugbr,1.6425,1.14639
2015,Greece,eugrc,0.113201,0.106152
2015,Croatia,euhrv,0.657789,0.50865
2015,Hungary,euhun,1.35493,1.14158
2015,Ireland,euirl,1.35298,1.07631
2015,Italy,euita,1.11574,1.19612
2015,Lithuania,eultu,0.667051,0.707232
2015,Latvia,eulva,0.629273,0.389543
2015,Moldova,eumda,-0.388113,-0.044257
2015,Macedonia,eumkd,-0.39802,-0.015171
2015,Netherlands,eunld,1.31596,0.953633
2015,Norway,eunor,1.21126,0.329303
2015,Poland,eupol,1.10641,0.909854
2015,Portugal,euprt,0.255319,0.683932
2015,Romania,eurou,0.561038,0.718277
2015,Russia,eurus,0.855036,0.546213
2015,Serbia,eusrb,0.520936,0.311116
2015,Slovakia,eusvk,1.31956,1.05168
2015,Slovenia,eusvn,1.42499,1.01149
2015,Sweden,euswe,1.92429,1.10674
2015,Ukraine,euukr,0.658954,0.386739
2015,Canada,nacan,1.12953,0.682508
2015,Costa Rica,nacri,0.135131,-0.036409
2015,Dominican Republic,nadom,-0.422355,-0.520992
2015,Guatemala,nagtm,-0.555447,-0.342653
2015,Honduras,nahnd,-0.844833,-0.494988
2015,Jamaica,najam,-0.285952,-1.4375
