Year,Country,id_3char,ECI,rank_cpi
1966,Canada,can,0.769482,23.0
1966,United States,usa,1.73973,8.0
1966,Thailand,tha,-0.9742649999999999,78.0
1966,Singapore,sgp,0.176202,38.0
1966,Tunisia,tun,-0.181228,45.0
1966,Togo,tgo,-1.16147,86.0
1966,Senegal,sen,-0.546367,60.0
1966,Sudan,sdn,-1.20651,88.0
1966,Nigeria,nga,-1.58372,94.0
1966,Mauritania,mrt,-1.11776,84.0
1966,Mozambique,moz,-0.925499,76.0
1966,Madagascar,mdg,-1.0057200000000002,80.0
1966,Kenya,ken,-0.848143,71.0
1966,Tanzania,tza,-1.33051,92.0
1966,Guinea,gin,-1.22868,89.0
1966,Gabon,gab,-1.51319,93.0
1966,Ethiopia,eth,-0.879627,74.0
1966,Egypt,egy,-0.121717,44.0
1966,Algeria,dza,-0.298926,55.0
1966,Republic of the Congo,cog,-1.01512,81.0
1966,Cameroon,cmr,-1.27345,91.0
1966,Cote d'Ivoire,civ,-0.998812,79.0
1966,Angola,ago,-1.17056,87.0
1966,Syria,syr,-0.201459,48.0
1966,Ghana,gha,-1.04538,83.0
1966,South Africa,zaf,-0.246495,49.0
1966,Morocco,mar,-0.24937199999999998,50.0
1966,Zimbabwe,zwe,0.732448,25.0
1966,Zambia,zmb,-0.541125,59.0
1966,Qatar,qat,-0.410999,58.0
1966,Philippines,phl,-0.5982270000000001,62.0
1966,Pakistan,pak,-0.302056,56.0
1966,Oman,omn,-0.8807209999999999,75.0
1966,Malaysia,mys,-0.702983,65.0
1966,Burma,mmr,-1.03755,82.0
1966,Sri Lanka,lka,-1.12994,85.0
1966,Lebanon,lbn,0.20175099999999999,37.0
1966,Kuwait,kwt,-0.8788790000000001,73.0
1966,Saudi Arabia,sau,-0.8319770000000001,70.0
1966,Cambodia,khm,-0.9287219999999999,77.0
1966,South Korea,kor,0.829615,21.0
1966,Hong Kong,hkg,1.2978299999999998,15.0
1966,Indonesia,idn,-1.2375399999999999,90.0
1966,India,ind,0.027833999999999998,42.0
1966,China,chn,0.47523699999999997,28.0
1966,Israel,isr,0.772181,22.0
1966,Jordan,jor,0.378245,29.0
1966,Japan,jpn,1.8713099999999998,6.0
